title,price,link
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","24,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_15?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-15
"ASUS Vivobook Go 15, Intel Celeron N4500, 15.6""(39.62cm) FHD 16:9 60 Hz, Thin & Light Laptop (8GB RAM/512 SSD/Intel HD Graphics/Win 11/Office 2021/Fingerprint Sensor/Star Black/1.57 Kg),E510KA-EJ011WS  ","26,990",https://amazon.in//ASUS-Vivobook-Intel-Celeron-39-62cm/dp/B0D81DRTXQ/ref=sr_1_16?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-16
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","32,490",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_3?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-3
"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg  ","24,990",https://amazon.in//ZEBRONICS-Processor-15-6-Inch-Display-Midnight/dp/B0CJJ7YZMC/ref=sr_1_17?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-17
"Lenovo IdeaPad Slim 3 13th Gen
                                        Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop
                                        (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game
                                        Pass/Grey/1.6Kg), 83EM008GIN  ","63,990",https://amazon.in//Lenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_18?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-18
"HP Laptop 15s, Intel Celeron N4500, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Black, 1.65 kg), fq3066TU  ","28,490",https://amazon.in//HP-15-6-inch-Micro-Edge-Graphics-15s-fq3066TU/dp/B0CJC7S45V/ref=sr_1_19?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-19
"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS  ","34,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK322WS/dp/B0CCPBPYSB/ref=sr_1_20?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-20
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i7 13700H 16"" (40.6cm) WUXGA-IPS 300Nits Thin & Light Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Camera/Alexa/1Yr ADP Free/Cloud Grey/1.9Kg), 82XF007FIN  ","81,690",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfYnRmOjMwMDI3OTc3OTM0MzczMjo6MDo6&url=%2FLenovo-IdeaPad-WUXGA-IPS-300Nits-82XF007FIN%2Fdp%2FB0D9H2XBVL%2Fref%3Dsr_1_21_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB SSD/100% DCI-P3/FHD+IR Camera/Win11/MSO 21/1Yr ADP Free/3Mon. Game Pass/Grey/1.39Kg), 83CV002DIN  ","1,08,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NzI1NzUwMDIyMzM2ODQ4OjE3MjQzMzIyOTA6c3BfYnRmOjMwMDE2OTI0MTg3NDUzMjo6MDo6&url=%2FLenovo-Built-WUXGA-OLED-400Nits-83CV002DIN%2Fdp%2FB0CTMQDLQX%2Fref%3Dsr_1_22_sspa%3F%2Bref%3Dnb_sb_noss_2%26crid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724332290%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU/eq2305au  ","40,801",https://amazon.in//HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_4?+ref=nb_sb_noss_2&crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.zlDUI1ylny7CqVlcPJ8AI5ElHYKw2EM4JJnlxhVDekau0_7l9WsZFbhKb6YDmngBd02zTnTUNz9xu1GhC7JzzO-2AvvZK-zmNQKj27-2fLcmOcJIy2hHyBbqV42BHB9KZsqxNC_f71G_gRX1QTH_51xr-7vH2k7A8pLaFoBC9oo5zQLfg8jtoRNWy0qinfSlrKdDWIRZlWGfBX7FFIwwge_NzRQ3okxeZ5QK0BLzyCk.uPcMIqO6Hg6csDFPQxG-nnY2F52tmR6YnJEsaS45EHw&dib_tag=se&keywords=laptop&qid=1724332290&sprefix=lap%2Caps%2C432&sr=8-4
